'mu'zi'lia	母子俩	06.58.321254	55414.521.321253434
'mu'nv'lia	母女俩	06.59.321254	55414.531.321253434
'mu'qin'jie	母亲节	06.6112.1752	55414.414311234.12252
'mu'yin	母音	06.6181	55414.414312511
'mu'li	母粒	06.6861	55414.43123441431
'mu'jian	母舰	06.932535	55414.3354142535
'guan'chuan	贯串	0628.80802	55212534.2512512
'shi'ban	尸斑	07.116611	513.112141341121
'pi'chen	辟尘	07.23419	5132514143112.234121
'shi'chong	尸虫	07.26	513.251214
'shi'la	尸蜡	07.261881	513.25121412212511
'pi'hai	辟海	07.443106	5132514143112.4413155414
'shi'bian	尸变	07.6654	513.41223454
'shi'bao	尸爆	07.698114	513.4334251112213424134
'shi'hai	尸骸	07.854154	513.255452511415334
'qu'zhe'yu	屈折语	0702.103312.401250	51352252.1213312.451251251
'qu'wang	屈枉	0702.1211	51352252.12341121
'qu'qu	屈戌	0702.131534	51352252.131534
'qu'guang'du	屈光度	0702.24135.471854	51352252.243135.413122154
'qu'shi'ti	屈氏体	0702.3515.32121	51352252.3515.3212341
'qu'fu'dian	屈服点	0702.365254.218069	51352252.35115254.212514444
'wei'guan	尉官	071124.462511	51311234124.44525151
'wei'an'fu	慰安妇	071125.4659.5901	513112341244544.445531.531511
'yun'yi'fu	熨衣服	071129.413534.365254	513112341244334.413534.35115254
'ceng'chu	层出	071154.02	5131154.52252
'ceng'lin	层林	071154.1212	5131154.12341234
'ceng'xi'shu	层析术	071154.123312.124	5131154.12343312.12344
'ceng'ya'ban	层压板	071154.13194.123354	5131154.131214.12343354
'ceng'ci'wang	层次网	071154.413534.253434	5131154.413534.253434
'ceng'liu	层流	071154.444155	5131154.4414154325
'ceng'xi'bao	层细胞	071154.5583.363555	5131154.55125121.351135515
'ceng'zhong	层中	071154.802	5131154.2512
'ju'wu	居屋	071280.071549	51312251.513154121
'ju'sang	居丧	071280.124314	51312251.12431534
'ju'yan'hai	居延海	071280.321554.443106	51312251.321554.4413155414
'ju'zhu'zhe	居住着	071280.32411.4382	51312251.3241121.43111325111
'ju'di'yi'wei	居第一位	071280.375723.1.3261	51312251.31431451523.1.3241431
'ju'jia'lv'xing	居家旅行	071280.4613.603134.33112	51312251.4451353334.4153313534.332112
'ju'yong'guan	居庸关	071280.470122.4334	51312251.41351125112.431134
'ju'li'dian	居里点	071280.81211.218069	51312251.2511211.212514444
'ju'ran'ba	居然把	071280.901349.105215	51312251.354413444444.1215215
'ju'ran'zai	居然在	071280.901349.13219	51312251.354413444444.132121
'ju'ran'bu	居然不	071280.901349.1324	51312251.354413444444.1324
'ju'ran'bu'shi	居然不是	071280.901349.1324.811214	51312251.354413444444.1324.251112134
'ju'ran'hai	居然还	071280.901349.132444	51312251.354413444444.1324454
'ju'ran'shuo	居然说	071280.901349.404385	51312251.354413444444.454325135
'ju'ran'mei	居然没	071280.901349.443554	51312251.354413444444.4413554
'ju'ran'ye	居然也	071280.901349.525	51312251.354413444444.525
'ju'ran'ye'neng	居然也能	071280.901349.525.542515	51312251.354413444444.525.5425113535
'ju'ran'neng	居然能	071280.901349.542515	51312251.354413444444.5425113535
'ju'ran'gan	居然敢	071280.901349.57290	51312251.354413444444.51221113134
'ju'ran'shi	居然是	071280.901349.811214	51312251.354413444444.251112134
'ju'ji	居积	071280.928034	51312251.3123425134
'ju'yi'qi	居移气	071280.929090.67	51312251.31234354354.3115
'ju'xie	剧协	071282.125344	5131225122.125344
'ju'chang'ban	剧场版	071282.19533.321534	5131225122.121533.32153354
'ju'zuo	剧作	071282.323121	5131225122.3231211
'ju'zuo'zhe	剧作者	071282.323121.19381	5131225122.3231211.12132511
'ju'ping	剧评	071282.401432	5131225122.4514312
'ju'she	剧社	071282.6219	5131225122.4524121
'ju'zhong	剧中	071282.802	5131225122.2512
'ju'zhong'ren	剧中人	071282.802.34	5131225122.2512.34
'pi'pi	屁屁	071535.071535	5131535.5131535
'pi'dian	屁颠	071535.122738	5131535.1225111134132534
'pi'dian'pi'dian	屁颠屁颠	071535.122738.071535.122738	5131535.1225111134132534.5131535.1225111134132534
'pi'yong	屁用	071535.35112	5131535.35112
'wu'ding'shang	屋顶上	071549.121328.211	513154121.12132534.211
'wu'yan'xia	屋檐下	071549.123510.124	513154121.12343513344111251.124
'wu'mian	屋面	071549.132521	513154121.132522111
'wu'shang'wu	屋上乌	071549.211.3551	513154121.211.3551
'wu'nei	屋内	071549.2534	513154121.2534
'wu'yu	屋宇	071549.46112	513154121.445112
'wu'zhong	屋中	071549.802	513154121.2512
'wu'li'mian	屋里面	071549.81211.132521	513154121.2511211.132522111
'wu'li'ren	屋里人	071549.81211.34	513154121.2511211.34
'wu'li'zuo	屋里坐	071549.81211.343419	513154121.2511211.3434121
'wu'li'zuo'zuo	屋里坐坐	071549.81211.343419.343419	513154121.2511211.3434121.3434121
'wu'wai	屋外	071549.9024	513154121.35424
'tun'you	臀疣	071831.481354	51312213435542511.413411354
'dian'hou	殿后	071834.33180	5131221343554.331251
'dian'yu	殿宇	071834.46112	5131221343554.445112
'zhan'shi'zhe	展示着	071854.11234.4382	5131221534.11234.43111325111
'zhan'kai'tu	展开图	071854.1132.259041	5131221534.1132.25354441
'zhan'kai'ji	展开剂	071854.1132.663222	5131221534.1132.41343222
'zhan'mai	展卖	071854.125444	5131221534.12544134
'zhan'tuan	展团	071854.251231	5131221534.251231
'zhan'shou	展售	071854.324170	5131221534.32411121251
'zhan'yan	展演	071854.444614	5131221534.44144512512134
'zhan'lang	展廊	071854.474032	5131221534.41345115452
'zhan'xing	展性	071854.49371	5131221534.44231121
'zhan'shang	展商	071854.613480	5131221534.41432534251
'zhan'shen'jing	展神经	071854.6283.555411	5131221534.452425112.55154121
'zhan'jiao'hui	展交会	071854.6634.341154	5131221534.413434.341154
'zhan'zhao	展昭	071854.815380	5131221534.251153251
'zhan'xiao'pin	展销品	071854.912421.808080	5131221534.311152432511.251251251
'bi'quan	壁泉	0719.381254	5132514143112121.325112534
'bi'zhong	壁钟	0719.91802	5132514143112121.311152512
'tu'chang	屠场	071931.19533	51312132511.121533
'tu'hu	屠户	071931.407	51312132511.4513
'tu'men	屠门	071931.42	51312132511.425
'bi'cong	臂丛	072511.34341	51325141431122511.34341
'bi'zhou	臂肘	072511.36124	51325141431122511.3511124
'bi'wan	臂弯	072511.6657	51325141431122511.412234515
'bi'jia	臂甲	072511.83	51325141431122511.25112
'bi'kai	臂铠	072511.912055	51325141431122511.31115252515
'shua'chu	刷出	072522.02	51325222.52252
'shua'shua	刷刷	072522.072522	51325222.51325222
'shua'yi'shua	刷一刷	072522.1.072522	51325222.1.51325222
'shua'yi'xia	刷一下	072522.1.124	51325222.1.124
'shua'ji	刷机	072522.1235	51325222.123435
'shua'ji'bao	刷机包	072522.1235.35515	51325222.123435.35515
'shua'guo	刷过	072522.124454	51325222.124454
'shua'bu	刷不	072522.1324	51325222.1324
'shua'bu'chu	刷不出	072522.1324.02	51325222.1324.52252
'shua'bu'diao	刷不掉	072522.1324.102182	51325222.1324.12121251112
'shua'bu'dao	刷不到	072522.1324.154192	51325222.1324.15412122
'shua'bu'zhao	刷不着	072522.1324.4382	51325222.1324.43111325111
'shua'dao	刷到	072522.154192	51325222.15412122
'shua'huai	刷坏	072522.191324	51325222.1211324
'shua'hui	刷回	072522.25801	51325222.252511
'shua'ru	刷入	072522.34	51325222.34
'shua'fen	刷分	072522.3453	51325222.3453
'shua'de	刷的	072522.381354	51325222.32511354
'shua'ye	刷夜	072522.413234	51325222.41323544
'shua'zhe	刷着	072522.4382	51325222.43111325111
