'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'guo'jia'guang'bo'dian'ying'dian'shi'zong'ju	国家广播电影电视总局	251141.4613.47.103683.815.814123.815.622535.438065.07580	25112141.4451353334.413.121343123425121.25115.251141251234333.25115.45242535.432514544.5135251
'guo'jia'min'zu'shi'wu'wei'yuan'hui	国家民族事务委员会	251141.4613.51515.603194.180012.9053.9259.8028.341154	25112141.4451353334.51515.41533131134.12515112.35453.31234531.2512534.341154
'guo'jia'fa'zhan'ji'hua'wei'yuan'hui	国家发展计划委员会	251141.4613.53544.071854.4012.153422.9259.8028.341154	25112141.4451353334.53544.5131221534.4512.153422.31234531.2512534.341154
'guo'jia'fa'zhan'he'gai'ge'wei'yuan'hui	国家发展和改革委员会	251141.4613.53544.071854.9280.51590.18.9259.8028.341154	25112141.4451353334.53544.5131221534.31234251.5153134.122125112.31234531.2512534.341154
'guo'jia'tong'ji'ju	国家统计局	251141.4613.554155.4012.07580	25112141.4451353334.551415435.4512.5135251
'guo'jia'jing'mao'wei	国家经贸委	251141.4613.555411.354538.9259	25112141.4451353334.55154121.354532534.31234531
'guo'jia'jing'ji'mao'yi'wei'yuan'hui	国家经济贸易委员会	251141.4613.555411.446632.354538.813533.9259.8028.341154	25112141.4451353334.55154121.441413432.354532534.25113533.31234531.2512534.341154
'guo'jia'fang'zhi'gong'ye'ju	国家纺织工业局	251141.4613.5560.558034.121.22.07580	25112141.4451353334.5514153.55125134.121.22431.5135251
'guo'jia'guo'jia'lv'you'ju	国家旅游局	251141.4613.603134.446038.07580	25112141.4451353334.4153313534.441415331521.5135251
'guo'jia'wen'wu'ju	国家文物局	251141.4613.66.313533.07580	25112141.4451353334.4134.31213533.5135251
'guo'jia'liang'shi'chu'bei'ju	国家粮食储备局	251141.4613.68403.30.324011.9083.07580	25112141.4451353334.4312344511534.344511534.324512132511.35425121.5135251
'guo'jia'mei'tan'gong'ye'ju	国家煤炭工业局	251141.4613.691812.201369.121.22.07580	25112141.4451353334.4334122111234.252134334.121.22431.5135251
'guo'jia'yan'cao'zhuan'mai'ju	国家烟草专卖局	251141.4613.692511.178112.1154.125444.07580	25112141.4451353334.4334251341.122251112.1154.12544134.5135251
'guo'jia'qing'gong'ye'ju	国家轻工业局	251141.4613.775411.121.22.07580	25112141.4451353334.152154121.121.22431.5135251
'guo'jia'zhong'yi'yao'guan'li'ju	国家中医药管理局	251141.4613.802.1945.175534.374621.118121.07580	25112141.4451353334.2512.1311345.122551354.31431444525151.11212511211.5135251
'guo'jia'you'zheng'ju	国家邮政局	251141.4613.8352.12190.07580	25112141.4451353334.2512152.121213134.5135251
'guo'jia'wai'guo'zhuan'jia'ju	国家外国专家局	251141.4613.9024.251141.1154.4613.07580	25112141.4451353334.35424.25112141.1154.4451353334.5135251
'guo'jia'wai'hui'guan'li'ju	国家外汇管理局	251141.4613.9024.4415.374621.118121.07580	25112141.4451353334.35424.44115.31431444525151.11212511211.5135251
'guo'jia'shui'wu'zong'ju	国家税务总局	251141.4613.924385.9053.438065.07580	25112141.4451353334.312344325135.35453.432514544.5135251
'guo'jia'ke'xue'ji'shu'gong'ye'wei'yuan'hui	国家科学技术工业委员会	251141.4613.924412.6458.101254.124.121.22.9259.8028.341154	25112141.4451353334.312344412.44345521.1211254.12344.121.22431.31234531.2512534.341154
'guo'jia'zhi'shi'chan'quan'ju	国家知识产权局	251141.4613.9480.408034.613.1254.07580	25112141.4451353334.31134251.4525134.414313.123454.5135251
'guo'ji'zhao'biao'gong'si	国际招标公司	251141.521124.105380.121124.3454.5180	25112141.5211234.12153251.123411234.3454.51251
'guo'ji'zheng'zhi'he'jing'ji'yan'jiu'zhong'xin	国际政治和经济研究中心	251141.521124.12190.445480.9280.555411.446632.141132.463435.802.65	25112141.5211234.121213134.44154251.31234251.55154121.441413432.132511132.4453435.2512.4544
'guo'ji'zhan'lue'wen'ti'xue'hui	国际战略问题学会	251141.521124.218014.839080.4280.811218.6458.341154	25112141.5211234.212511534.25121354251.425251.251112134132534.44345521.341154
'guo'ji'xin'tuo'fu'wu'gong'si	国际信托服务公司	251141.521124.3240.10315.365254.9053.3454.5180	25112141.5211234.324111251.121315.35115254.35453.3454.51251
'guo'ji'wen'ti'yan'jiu'suo	国际问题研究所	251141.521124.4280.811218.141132.463435.335132	25112141.5211234.425251.251112134132534.132511132.4453435.33513312
'guo'ji'shu'dian	国际书店	251141.521124.5524.472180	25112141.5211234.5524.41321251
'guo'ji'jin'rong'xue	国际金融学	251141.521124.91.180256.6458	25112141.5211234.34112431.1251254312251214.44345521
'guo'fang'da'xue	国防大学	251141.5260.134.6458	25112141.524153.134.44345521
'guo'fang'bu	国防部	251141.5260.618052	25112141.524153.4143125152
'guo'fang'ke'xue'ji'shu'gong'ye'wei'yuan'hui	国防科学技术工业委员会	251141.5260.924412.6458.101254.124.121.22.9259.8028.341154	25112141.524153.312344412.44345521.1211254.12344.121.22431.31234531.2512534.341154
'guo'wu'yuan	国务院	251141.9053.524615	25112141.35453.524451135
'guo'wu'yuan'zhi'shu'ji'gou	国务院直属机构	251141.9053.524615.1227.073804.1235.123554	25112141.35453.524451135.12251111.513325125214.123435.12343554
'guo'wu'yuan'zhi'shu'shi'ye'dan'wei	国务院直属事业单位	251141.9053.524615.1227.073804.180012.22.438112.3261	25112141.35453.524451135.12251111.513325125214.12515112.22431.43251112.3241431
'guo'wu'yuan'ji'guan'shi'wu'guan'li'ju	国务院机关事务管理局	251141.9053.524615.1235.4334.180012.9053.374621.118121.07580	25112141.35453.524451135.123435.431134.12515112.35453.31431444525151.11212511211.5135251
'guo'wu'yuan'yan'jiu'shi	国务院研究室	251141.9053.524615.141132.463435.461549	25112141.35453.524451135.132511132.4453435.445154121
'guo'wu'yuan'ban'shi'ji'gou	国务院办事机构	251141.9053.524615.5344.180012.1235.123554	25112141.35453.524451135.5344.12515112.123435.12343554
'guo'wu'yuan'ban'gong'ting	国务院办公厅	251141.9053.524615.5344.3454.1312	25112141.35453.524451135.5344.3454.1312
'guo'wu'yuan'fa'zhan'yan'jiu'zhong'xin	国务院发展研究中心	251141.9053.524615.53544.071854.141132.463435.802.65	25112141.35453.524451135.53544.5131221534.132511132.4453435.2512.4544
